mode: mode2,	time = 0.000001,	step = 0.000001,	order = 4
Dealing with the jump from mode2 to mode3 ...
jumps = 0
branch id: 1
_f1 bounds after reset: [-0.0000000000,  0.0000000000]
_f479 bounds after reset: [-0.0000000000,  0.0000000000]
_f479 remainder after reset: [-0.0000000000,  0.0000000000]
_f480 bounds after reset: [-0.0000000000,  0.0000000000]
_f480 remainder after reset: [-0.0000000000,  0.0000000000]
_f481 bounds after reset: [-0.0000000000,  0.0000000000]
_f481 remainder after reset: [-0.0000000000,  0.0000000000]
_f482 bounds after reset: [-0.0000000000,  0.0000000000]
_f482 remainder after reset: [-0.0000000000,  0.0000000000]
_f483 bounds after reset: [-0.0000000000,  0.0000000000]
_f483 remainder after reset: [-0.0000000000,  0.0000000000]
_f484 bounds after reset: [-0.0000000000,  0.0000000000]
_f484 remainder after reset: [-0.0000000000,  0.0000000000]
_f485 bounds after reset: [-0.0000000000,  0.0000000000]
_f485 remainder after reset: [-0.0000000000,  0.0000000000]
_f486 bounds after reset: [-0.0000000000,  0.0000000000]
_f486 remainder after reset: [-0.0000000000,  0.0000000000]
_f487 bounds after reset: [-0.0000000000,  0.0000000000]
_f487 remainder after reset: [-0.0000000000,  0.0000000000]
_f488 bounds after reset: [-0.0000000000,  0.0000000000]
_f488 remainder after reset: [-0.0000000000,  0.0000000000]
_f489 bounds after reset: [-0.0000000000,  0.0000000000]
_f489 remainder after reset: [-0.0000000000,  0.0000000000]
_f490 bounds after reset: [-0.0000000000,  0.0000000000]
_f490 remainder after reset: [-0.0000000000,  0.0000000000]
_f491 bounds after reset: [-0.0000000000,  0.0000000000]
_f491 remainder after reset: [-0.0000000000,  0.0000000000]
_f492 bounds after reset: [-0.0000000000,  0.0000000000]
_f492 remainder after reset: [-0.0000000000,  0.0000000000]
_f493 bounds after reset: [-0.0000000000,  0.0000000000]
_f493 remainder after reset: [-0.0000000000,  0.0000000000]
_f494 bounds after reset: [-0.0000000000,  0.0000000000]
_f494 remainder after reset: [-0.0000000000,  0.0000000000]
_f495 bounds after reset: [-0.0000000000,  0.0000000000]
_f495 remainder after reset: [-0.0000000000,  0.0000000000]
_f496 bounds after reset: [-0.0000000000,  0.0000000000]
_f496 remainder after reset: [-0.0000000000,  0.0000000000]
_f497 bounds after reset: [-0.0000000000,  0.0000000000]
_f497 remainder after reset: [-0.0000000000,  0.0000000000]
_f498 bounds after reset: [-0.0000000000,  0.0000000000]
_f498 remainder after reset: [-0.0000000000,  0.0000000000]
_f499 bounds after reset: [-0.0000000000,  0.0000000000]
_f499 remainder after reset: [-0.0000000000,  0.0000000000]
_f500 bounds after reset: [-0.0000000000,  0.0000000000]
_f500 remainder after reset: [-0.0000000000,  0.0000000000]
_f501 bounds after reset: [-0.0000000000,  0.0000000000]
_f501 remainder after reset: [-0.0000000000,  0.0000000000]
_f502 bounds after reset: [-0.0000000000,  0.0000000000]
_f502 remainder after reset: [-0.0000000000,  0.0000000000]
_f503 bounds after reset: [-0.0000000000,  0.0000000000]
_f503 remainder after reset: [-0.0000000000,  0.0000000000]
_f504 bounds after reset: [-0.0000000000,  0.0000000000]
_f504 remainder after reset: [-0.0000000000,  0.0000000000]
_f505 bounds after reset: [-0.0000000000,  0.0000000000]
_f505 remainder after reset: [-0.0000000000,  0.0000000000]
_f506 bounds after reset: [-0.0000000000,  0.0000000000]
_f506 remainder after reset: [-0.0000000000,  0.0000000000]
_f507 bounds after reset: [-0.0000000000,  0.0000000000]
_f507 remainder after reset: [-0.0000000000,  0.0000000000]
_f508 bounds after reset: [-0.0000000000,  0.0000000000]
_f508 remainder after reset: [-0.0000000000,  0.0000000000]
_f509 bounds after reset: [-0.0000000000,  0.0000000000]
_f509 remainder after reset: [-0.0000000000,  0.0000000000]
_f510 bounds after reset: [-0.0000000000,  0.0000000000]
_f510 remainder after reset: [-0.0000000000,  0.0000000000]
_f511 bounds after reset: [-0.0000000000,  0.0000000000]
_f511 remainder after reset: [-0.0000000000,  0.0000000000]
_f512 bounds after reset: [-0.0000000000,  0.0000000000]
_f512 remainder after reset: [-0.0000000000,  0.0000000000]
_f513 bounds after reset: [-0.0000000000,  0.0000000000]
_f513 remainder after reset: [-0.0000000000,  0.0000000000]
_f514 bounds after reset: [-0.0000000000,  0.0000000000]
_f514 remainder after reset: [-0.0000000000,  0.0000000000]
_f515 bounds after reset: [-0.0000000000,  0.0000000000]
_f515 remainder after reset: [-0.0000000000,  0.0000000000]
_f516 bounds after reset: [-0.0000000000,  0.0000000000]
_f516 remainder after reset: [-0.0000000000,  0.0000000000]
_f517 bounds after reset: [-0.0000000000,  0.0000000000]
_f517 remainder after reset: [-0.0000000000,  0.0000000000]
_f518 bounds after reset: [-0.0000000000,  0.0000000000]
_f518 remainder after reset: [-0.0000000000,  0.0000000000]
_f519 bounds after reset: [-0.0000000000,  0.0000000000]
_f519 remainder after reset: [-0.0000000000,  0.0000000000]
_f520 bounds after reset: [-0.0000000000,  0.0000000000]
_f520 remainder after reset: [-0.0000000000,  0.0000000000]
_f521 bounds after reset: [-0.0000000000,  0.0000000000]
_f521 remainder after reset: [-0.0000000000,  0.0000000000]
_f522 bounds after reset: [-0.0000000000,  0.0000000000]
_f522 remainder after reset: [-0.0000000000,  0.0000000000]
_f523 bounds after reset: [-0.0000000000,  0.0000000000]
_f523 remainder after reset: [-0.0000000000,  0.0000000000]
_f524 bounds after reset: [-0.0000000000,  0.0000000000]
_f524 remainder after reset: [-0.0000000000,  0.0000000000]
_f525 bounds after reset: [-0.0000000000,  0.0000000000]
_f525 remainder after reset: [-0.0000000000,  0.0000000000]
_f526 bounds after reset: [-0.0000000000,  0.0000000000]
_f526 remainder after reset: [-0.0000000000,  0.0000000000]
_f527 bounds after reset: [-0.0000000000,  0.0000000000]
_f527 remainder after reset: [-0.0000000000,  0.0000000000]
_f528 bounds after reset: [-0.0000000000,  0.0000000000]
_f528 remainder after reset: [-0.0000000000,  0.0000000000]
_f529 bounds after reset: [-0.0000000000,  0.0000000000]
_f529 remainder after reset: [-0.0000000000,  0.0000000000]
_f530 bounds after reset: [-0.0000000000,  0.0000000000]
_f530 remainder after reset: [-0.0000000000,  0.0000000000]
_f531 bounds after reset: [-0.0000000000,  0.0000000000]
_f531 remainder after reset: [-0.0000000000,  0.0000000000]
_f532 bounds after reset: [-0.0000000000,  0.0000000000]
_f532 remainder after reset: [-0.0000000000,  0.0000000000]
_f533 bounds after reset: [-0.0000000000,  0.0000000000]
_f533 remainder after reset: [-0.0000000000,  0.0000000000]
_f534 bounds after reset: [-0.0000000000,  0.0000000000]
_f534 remainder after reset: [-0.0000000000,  0.0000000000]
_f535 bounds after reset: [-0.0000000000,  0.0000000000]
_f535 remainder after reset: [-0.0000000000,  0.0000000000]
_f536 bounds after reset: [-0.0000000000,  0.0000000000]
_f536 remainder after reset: [-0.0000000000,  0.0000000000]
_f537 bounds after reset: [-0.0000000000,  0.0000000000]
_f537 remainder after reset: [-0.0000000000,  0.0000000000]
_f538 bounds after reset: [-0.0000000000,  0.0000000000]
_f538 remainder after reset: [-0.0000000000,  0.0000000000]
_f539 bounds after reset: [-0.0000000000,  0.0000000000]
_f539 remainder after reset: [-0.0000000000,  0.0000000000]
_f540 bounds after reset: [-0.0000000000,  0.0000000000]
_f540 remainder after reset: [-0.0000000000,  0.0000000000]
_f541 bounds after reset: [-0.0000000000,  0.0000000000]
_f541 remainder after reset: [-0.0000000000,  0.0000000000]
_f542 bounds after reset: [-0.0000000000,  0.0000000000]
_f542 remainder after reset: [-0.0000000000,  0.0000000000]
_f543 bounds after reset: [-0.0000000000,  0.0000000000]
_f543 remainder after reset: [-0.0000000000,  0.0000000000]
_f544 bounds after reset: [-0.0000000000,  0.0000000000]
_f544 remainder after reset: [-0.0000000000,  0.0000000000]
_f545 bounds after reset: [-0.0000000000,  0.0000000000]
_f545 remainder after reset: [-0.0000000000,  0.0000000000]
_f546 bounds after reset: [-0.0000000000,  0.0000000000]
_f546 remainder after reset: [-0.0000000000,  0.0000000000]
_f547 bounds after reset: [-0.0000000000,  0.0000000000]
_f547 remainder after reset: [-0.0000000000,  0.0000000000]
_f548 bounds after reset: [-0.0000000000,  0.0000000000]
_f548 remainder after reset: [-0.0000000000,  0.0000000000]
_f549 bounds after reset: [-0.0000000000,  0.0000000000]
_f549 remainder after reset: [-0.0000000000,  0.0000000000]
_f550 bounds after reset: [-0.0000000000,  0.0000000000]
_f550 remainder after reset: [-0.0000000000,  0.0000000000]
_f551 bounds after reset: [-0.0000000000,  0.0000000000]
_f551 remainder after reset: [-0.0000000000,  0.0000000000]
_f552 bounds after reset: [-0.0000000000,  0.0000000000]
_f552 remainder after reset: [-0.0000000000,  0.0000000000]
_f553 bounds after reset: [-0.0000000000,  0.0000000000]
_f553 remainder after reset: [-0.0000000000,  0.0000000000]
_f554 bounds after reset: [-0.0000000000,  0.0000000000]
_f554 remainder after reset: [-0.0000000000,  0.0000000000]
_f555 bounds after reset: [-0.0000000000,  0.0000000000]
_f555 remainder after reset: [-0.0000000000,  0.0000000000]
_f556 bounds after reset: [-0.0000000000,  0.0000000000]
_f556 remainder after reset: [-0.0000000000,  0.0000000000]
_f557 bounds after reset: [-0.0000000000,  0.0000000000]
_f557 remainder after reset: [-0.0000000000,  0.0000000000]
_f558 bounds after reset: [-0.0000000000,  0.0000000000]
_f558 remainder after reset: [-0.0000000000,  0.0000000000]
_f559 bounds after reset: [-0.0000000000,  0.0000000000]
_f559 remainder after reset: [-0.0000000000,  0.0000000000]
_f560 bounds after reset: [-0.0000000000,  0.0000000000]
_f560 remainder after reset: [-0.0000000000,  0.0000000000]
_f561 bounds after reset: [-0.0000000000,  0.0000000000]
_f561 remainder after reset: [-0.0000000000,  0.0000000000]
_f562 bounds after reset: [-0.0000000000,  0.0000000000]
_f562 remainder after reset: [-0.0000000000,  0.0000000000]
_f563 bounds after reset: [-0.0000000000,  0.0000000000]
_f563 remainder after reset: [-0.0000000000,  0.0000000000]
_f564 bounds after reset: [-0.0000000000,  0.0000000000]
_f564 remainder after reset: [-0.0000000000,  0.0000000000]
_f565 bounds after reset: [-0.0000000000,  0.0000000000]
_f565 remainder after reset: [-0.0000000000,  0.0000000000]
_f566 bounds after reset: [-0.0000000000,  0.0000000000]
_f566 remainder after reset: [-0.0000000000,  0.0000000000]
_f567 bounds after reset: [-0.0000000000,  0.0000000000]
_f567 remainder after reset: [-0.0000000000,  0.0000000000]
_f568 bounds after reset: [-0.0000000000,  0.0000000000]
_f568 remainder after reset: [-0.0000000000,  0.0000000000]
_f569 bounds after reset: [-0.0000000000,  0.0000000000]
_f569 remainder after reset: [-0.0000000000,  0.0000000000]
_f570 bounds after reset: [-0.0000000000,  0.0000000000]
_f570 remainder after reset: [-0.0000000000,  0.0000000000]
_f571 bounds after reset: [-0.0000000000,  0.0000000000]
_f571 remainder after reset: [-0.0000000000,  0.0000000000]
_f572 bounds after reset: [-0.0000000000,  0.0000000000]
_f572 remainder after reset: [-0.0000000000,  0.0000000000]
_f573 bounds after reset: [-0.0000000000,  0.0000000000]
_f573 remainder after reset: [-0.0000000000,  0.0000000000]
_f574 bounds after reset: [-0.0000000000,  0.0000000000]
_f574 remainder after reset: [-0.0000000000,  0.0000000000]
_f575 bounds after reset: [-0.0000000000,  0.0000000000]
_f575 remainder after reset: [-0.0000000000,  0.0000000000]
_f576 bounds after reset: [-0.0000000000,  0.0000000000]
_f576 remainder after reset: [-0.0000000000,  0.0000000000]
_f577 bounds after reset: [-0.0000000000,  0.0000000000]
_f577 remainder after reset: [-0.0000000000,  0.0000000000]
_f578 bounds after reset: [-0.0000000000,  0.0000000000]
_f578 remainder after reset: [-0.0000000000,  0.0000000000]
_f579 bounds after reset: [-0.0000000000,  0.0000000000]
_f579 remainder after reset: [-0.0000000000,  0.0000000000]
_f580 bounds after reset: [-0.0000000000,  0.0000000000]
_f580 remainder after reset: [-0.0000000000,  0.0000000000]
_f581 bounds after reset: [-0.0000000000,  0.0000000000]
_f581 remainder after reset: [-0.0000000000,  0.0000000000]
_f582 bounds after reset: [-0.0000000000,  0.0000000000]
_f582 remainder after reset: [-0.0000000000,  0.0000000000]
_f583 bounds after reset: [-0.0000000000,  0.0000000000]
_f583 remainder after reset: [-0.0000000000,  0.0000000000]
_f584 bounds after reset: [-0.0000000000,  0.0000000000]
_f584 remainder after reset: [-0.0000000000,  0.0000000000]
_f585 bounds after reset: [-0.0000000000,  0.0000000000]
_f585 remainder after reset: [-0.0000000000,  0.0000000000]
_f586 bounds after reset: [-0.0000000000,  0.0000000000]
_f586 remainder after reset: [-0.0000000000,  0.0000000000]
_f587 bounds after reset: [-0.0000000000,  0.0000000000]
_f587 remainder after reset: [-0.0000000000,  0.0000000000]
_f588 bounds after reset: [-0.0000000000,  0.0000000000]
_f588 remainder after reset: [-0.0000000000,  0.0000000000]
_f589 bounds after reset: [-0.0000000000,  0.0000000000]
_f589 remainder after reset: [-0.0000000000,  0.0000000000]
_f590 bounds after reset: [-0.0000000000,  0.0000000000]
_f590 remainder after reset: [-0.0000000000,  0.0000000000]
_f591 bounds after reset: [-0.0000000000,  0.0000000000]
_f591 remainder after reset: [-0.0000000000,  0.0000000000]
_f592 bounds after reset: [-0.0000000000,  0.0000000000]
_f592 remainder after reset: [-0.0000000000,  0.0000000000]
_f593 bounds after reset: [-0.0000000000,  0.0000000000]
_f593 remainder after reset: [-0.0000000000,  0.0000000000]
_f594 bounds after reset: [-0.0000000000,  0.0000000000]
_f594 remainder after reset: [-0.0000000000,  0.0000000000]
_f595 bounds after reset: [-0.0000000000,  0.0000000000]
_f595 remainder after reset: [-0.0000000000,  0.0000000000]
_f596 bounds after reset: [-0.0000000000,  0.0000000000]
_f596 remainder after reset: [-0.0000000000,  0.0000000000]
_f597 bounds after reset: [-0.0000000000,  0.0000000000]
_f597 remainder after reset: [-0.0000000000,  0.0000000000]
_f598 bounds after reset: [-0.0000000000,  0.0000000000]
_f598 remainder after reset: [-0.0000000000,  0.0000000000]
_f599 bounds after reset: [-0.0000000000,  0.0000000000]
_f599 remainder after reset: [-0.0000000000,  0.0000000000]
_f600 bounds after reset: [-0.0000000000,  0.0000000000]
_f600 remainder after reset: [-0.0000000000,  0.0000000000]
_f601 bounds after reset: [-0.0000000000,  0.0000000000]
_f601 remainder after reset: [-0.0000000000,  0.0000000000]
x1 bounds after reset: [ 0.5200000000,  0.5202500000]
x1 remainder after reset: [-0.0000000000,  0.0000000000]
x2 bounds after reset: [-0.0000000000,  0.0000000000]
x2 remainder after reset: [-0.0000000000,  0.0000000000]
temp bounds after reset: [-0.0000000000,  0.0000000000]
temp remainder after reset: [-0.0000000000,  0.0000000000]
reward bounds after reset: [100.0000000000, 100.0000000000]
reward remainder after reset: [-0.0000000000,  0.0000000000]
k bounds after reset: [-0.0000000000,  0.0000000000]
k remainder after reset: [-0.0000000000,  0.0000000000]
x3 bounds after reset: [-0.0000000000,  0.3000000000]
x3 remainder after reset: [-0.0000000000,  0.0000000000]
clock bounds after reset: [-0.0000000000,  0.0000007629]
clock remainder after reset: [-0.0000003815,  0.0000003815]
Done.
Dealing with the jump from mode2 to _DNN1 ...
jumps = 0
branch id: 1
No intersection detected.
Done.
Dealing with the jump from mode2 to _DNN1 ...
jumps = 0
branch id: 1
No intersection detected.
Done.
Dealing with the jump from mode2 to mode4 ...
jumps = 0
branch id: 1
No intersection detected.
Done.
mode: mode3,	time = 0.000001,	step = 0.000001,	order = 4

Computation completed: 2 flowpipe(s) computed.

[1mResult of the safety verification on the computed flowpipes: [0m[1m[32mSAFE

[0mTotal time cost:[1m 28.285036[0m seconds.

total branches: 1
dnn runtime: 0.000000

Initial conditions:
[0.520000, 0.520250]
[0.000000, 0.000000]
[-0.000000, 0.300000]
